Year	Month	DayofMonth	DayOfWeek	DepTime	CRSDepTime	UniqueCarrier	FlightNum	TailNum	Origin	Dest	Distance	TaxiIn	!IsArrDelayed-yes	!IsArrDelayed-no
2008	8	5	2	750.0	735	US	1914	1.78985436419	CLT	ORD	599.0	3.0	1.0	0.0
1990	6	5	2	705.0	700	US	780	1.78985436419	PIT	PHL	267.0	6.53945398261	1.0	0.0
2003	9	17	3	1700.0	1700	WN	2546	1.78985436419	MCI	MDW	405.0	3.0	0.0	1.0
1990	7	24	2	2239.0	2230	NW	888	1.78985436419	MSP	RST	76.0	6.53945398261	1.0	0.0
2000	1	2	7	1049.0	1017	UA	2111	1.78985436419	SEA	SFO	679.0	6.0	1.0	0.0
2008	5	29	4	1830.0	1835	9E	4701	1.78985436419	IND	SAT	986.0	4.0	0.0	1.0
2001	4	17	2	1453.0	1452	MQ	5382	1.78985436419	RSW	MIA	105.0	9.0	1.0	0.0
2002	9	25	3	1527.0	1410	DL	780	1.78985436419	SYR	ATL	793.0	8.0	1.0	0.0
1989	10	24	2	1252.0	1255	DL	1863	1.78985436419	BIL	SLC	387.0	6.53945398261	1.0	0.0
2003	9	10	3	2146.0	2148	AA	1427	1.78985436419	DFW	LAS	1055.0	5.0	0.0	1.0
2004	1	28	3	1215.0	1220	EV	4206	1.78985436419	ATL	HSV	151.0	3.0	0.0	1.0
1991	4	8	1	1916.0	1910	US	695	1.78985436419	PHL	LAS	2176.0	6.53945398261	0.0	1.0
1992	1	10	5	1958.0	1959	DL	1714	1.78985436419	SEA	LAX	954.0	6.53945398261	1.0	0.0
1992	10	3	6	1625.0	1620	WN	545	1.78985436419	STL	PHX	1262.0	6.53945398261	0.0	1.0
1993	6	15	2	1735.0	1715	HP	33	1.78985436419	PHX	LAX	370.0	6.53945398261	1.0	0.0
2004	3	25	4	2334.0	2340	OH	5033	1.78985436419	ATL	IAH	689.0	7.0	0.0	1.0
2002	12	12	4	701.0	705	CO	782	1.78985436419	PVD	EWR	160.0	8.0	0.0	1.0
1994	10	16	7	915.0	915	NW	997	1.78985436419	DTW	MIA	1145.0	6.53945398261	0.0	1.0
1988	8	29	1	2040.0	2043	UA	307	1.78985436419	DEN	FAT	844.0	6.53945398261	0.0	1.0
2001	10	28	7	1822.0	1825	MQ	4163	1.78985436419	ORD	CMH	296.0	4.0	1.0	0.0
1989	9	6	3	950.0	950	US	1254	1.78985436419	MIA	EYW	126.0	6.53945398261	0.0	1.0
2000	12	4	1	728.0	730	AA	1547	1.78985436419	BOS	MCO	1121.0	6.0	0.0	1.0
1995	8	12	6	1435.0	1430	DL	354	1.78985436419	MCO	ATL	403.0	10.0	0.0	1.0
2002	12	28	6	955.0	955	WN	2364	1.78985436419	BWI	PVD	328.0	4.0	0.0	1.0
1989	11	10	5	640.0	640	UA	1435	1.78985436419	OAK	LAX	337.0	6.53945398261	0.0	1.0
1993	3	6	6	1630.0	1630	WN	354	1.78985436419	STL	MDW	251.0	6.53945398261	1.0	0.0
1990	8	30	4	1350.0	1327	EA	372	1.78985436419	SRQ	ATL	445.0	6.53945398261	1.0	0.0
1997	7	28	1	1055.0	1055	DL	1081	1.78985436419	CVG	SDF	83.0	3.0	1.0	0.0
1995	1	13	5	1801.0	1750	WN	1707	1.78985436419	ONT	OAK	361.0	2.0	1.0	0.0
1997	10	14	2	1744.0	1745	UA	201	1.78985436419	IAD	DEN	1452.0	5.0	1.0	0.0
2006	11	14	2	1219.0	1220	WN	1524	1.78985436419	MDW	IND	162.0	7.0	0.0	1.0
1990	12	31	1	1815.0	1815	DL	1833	1.78985436419	TUL	OKC	111.0	6.53945398261	0.0	1.0
2002	9	27	5	1800.0	1800	AA	75	1.78985436419	IAD	LAX	2288.0	7.0	0.0	1.0
1998	4	14	2	1021.0	1020	UA	2304	1.78985436419	LAX	PDX	834.0	2.0	0.0	1.0
1995	10	9	1	1559.0	1600	HP	605	1.78985436419	PHX	SFO	651.0	6.0	0.0	1.0
1990	12	27	4	1348.4081278	1745	TW	385	1.78985436419	ATL	STL	483.0	6.53945398261	1.0	0.0
1988	2	4	4	2045.0	2045	HP	668	1.78985436419	PHX	SNA	338.0	6.53945398261	1.0	0.0
2008	12	24	3	625.0	615	US	1210	1.78985436419	DFW	PHL	1302.0	7.0	1.0	0.0
2008	12	19	5	2235.0	2235	YV	2859	1.78985436419	PHX	FLG	119.0	3.0	0.0	1.0
1989	11	10	5	910.0	910	DL	759	1.78985436419	DTW	DFW	987.0	6.53945398261	0.0	1.0
2006	7	12	3	1020.0	1020	UA	578	1.78985436419	DEN	MSY	1062.0	2.0	0.0	1.0
1994	9	28	3	2126.0	2115	US	292	1.78985436419	PIT	ELM	208.0	6.53945398261	1.0	0.0
1996	3	11	1	759.0	800	CO	337	1.78985436419	IND	EWR	644.0	5.0	1.0	0.0
2002	6	24	1	1551.0	1545	UA	554	1.78985436419	SFO	ANC	2018.0	4.0	0.0	1.0
2005	12	20	2	731.0	734	AA	890	1.78985436419	DFW	MCI	460.0	4.0	0.0	1.0
1995	12	17	7	842.0	0	AA	1226	1.78985436419	ELP	ORD	1236.0	6.0	0.0	1.0
1995	10	22	7	1033.0	915	NW	1584	1.78985436419	DTW	CLE	95.0	3.0	1.0	0.0
1992	8	9	7	845.0	845	DL	1299	1.78985436419	OKC	SLC	866.0	6.53945398261	0.0	1.0
